Username,Name
jaysinghal02,Jayant Singhal
r0hanmadan,Rohan Madan
dualitycs,Duality
mikkel.alvarez,mik
mo.jama44,Mo Jama
anish.chitti,Anish
tylerhagerman02,Tyler Hagerman
kiren.manoharan3,Kiren Manoharan
kishore._.7,Kishore Prakash
abood_mo20,Abood
arvind.kumar02,Arvind Kumar
bretmshaffer,Bret Shaffer
mohithkankanala,Mohith Kankanala
shashwat.ra0,Shashwat Rao
mike_erickson35,Michael Erickson
janavibhatt,Janavi Bhatt
ohas_baka,Ojas Deshpande
wyatt.hagedorn,Wyatt Hagedorn
mohamedelzubeir_,محمد الزبير
nitya.kk,nitya kondapalli
astreos_brainfuel,ASTRE°S
cdixon513,Corinne
solomonbattagani,Solomon Battagani
mfurkankolanci,Mustafa Furkan Kolanci
pranav_siddamreddy,Pranav Siddamreddy
j_wolfe03,Josh Wolfe
bigdave0426,David Battagani
_anvithaaa,Anvitha Gogineni
kyle_kp,Kyle Blankenhorn
alec_noonan,Alec
farhan.mk21,Farhan Masood
imontgomery17,Ian Montgomery
rajeshathilingam,Rajesh Athilingam
harsh_gaur27,Harshit Gaur
mason.pierce.96155,Mason Pierce
dbatt17,Deborah Battagani
lucianacinaa,luci🪐🧿
vincema11,Vincent Ma
liah.miller7,liah
dhillon.angad21,Angad Dhillon
shailee2019,Shailee Shah
avipopat,Avi Popat
priya_matreja,Priya M
_jazzy.d_,Jaz:)
yashika_1852,Yashika Kuchanpally
nyge14._,Nyge
jayramesh1854,Jay Ramesh
jillianflowers_,jillian flowers
nushbitesnsips,Nush Bites & Sips
bhomikaa_29,Bhomikaa Raya
ncharlton002,Noah Charlton
alright_eric,Eric Verway-Cohen
wheaties070,Wesley Shen
akhildamarla,Akhil Damarla
tanisha_mukk,Tanisha Mukherjee
g_nerone,Garrett Nerone
anishrajaram,Anish
nivesmyers,Nives
the.og.anurag_c,Anurag
dipika.r.das,Dipika Das🏹
prod_by_isaac,Isaac Mattern ♪ Producer
mia.iseating,mia 🌮
trinab____,Trina Bhattacharyya
hari_potham,Narahari Pothamsetty
najchris11,Christian
suchii.p,Suchi Patel
kailash.sastry,Kailash
ritiki.c,Ritika
aleah.litteral,Aleah
the_evgally,Evan Gallagher
_andrewle,Andrew Le
andyc4096,Andy Clemens
suriyvh,Suriyah
amanda.holowaty,Amanda
mukund_tarimala,Mukund Tarimala
dhruvivapiwala,Dhruvi Vapiwala
_seth.thompson_,Seth Thompson
_pranavchati_,Pranav Chati
manukoppella,Manushree Koppella
nyja.14_,Nyja Gowda
anutam.s,Anutam Srinivasan
skimook,Mook
afifaljamil,Afif Jamil
ride_is_breath,ANIL
therealsud_,Sudhansh
anthony.villella,Anthony Villella
im_arijitd,Arijit Das
ajabreo,alex
trentonmajka,Trenton Majka
harikavandrasi,Harika Vandrasi
josh.m.smith,Josh Smith
fraas.david,David
visher.ramuni,Visher
emma_collle,Emma Cole
hoboorca,Ty
john_fuchik,John Fuchik
davantecooper,Davante
xavier_soccer_13,Xavier El-Shazly
steph.c.hirsch,steph hirsch
ethan_poto03,Ethan Potoczak
velanrajmohan,Velan
ankit_r_kumar,Ankit Kumar
sakshi.shashiraj,Sakshi Shashiraj
ryan.l_,Ryan Lim
jacksayre,Jack Sayre
ajay.is.tan,Ajay Tandon
laraschoberr,lara
manasvinikumaraswamy,Manasvini Kumaraswamy
shashanknookala,shashank
kurtbouska,Kurt Bouska
ryan_loynes,Ryan Loynes🌌
harishmukkapati,Harish Mukkapati
presnsqueaks,Prasanjit Sahoo
hannahhmitchelll,hannah 🪐
v_narayan6,Vidhur Narayan
rawguv,Raghav Subramanian
theofficialmarto,Martins Udotai
nellyyy.2927,Nelly Azar
kopp_cameron,Cameron Kopp
emmakruse42,Emma Kruse🌻
_ashleytarrant,ashley tarrant
arya.kumar1,Arya Kumar
manasaprabhala,Manasa
ashchar03,Ashwin Char
sanskrutiadmane,Sanskruti | संस्कृति
arya_tamaskar,Arya
suvan_dommeti,Suvan Dommeti
ahmednazarr,Ahmed Nazar | أحمد نزار
nayana.reddyy,Nayana Reddy
tosu_nsbe,OSU NSBE
tithi_b,Tithi Bhattacharyya
gradyisaly,grad
haydenmiller44,Hayden Miller
sahil_kholwadwala,sahil kholwadwala!
ilanachestney,Ilana
_anwilliam_,William
gautamxsureshkumar,Gautam Sureshkumar
abhiram_rustagi,Abhiram|अभिराम
driti.veerapuram,Driti Veerapuram
ervincui16,Ervin Cui
nithin.the.nithin,Nithin Anand
anish.venkat,Anish Venkat
shivani.45,
nainakarnati,Naina Karnati
jono.strunck,Jono
yengorachel,Rachel Yengo
janvii.ii,Janvi Patel
vikasisreddy,Vikas Reddy
sanjj_1,Sanjay Janardhan
pete_robie1,Peter Robie
montgomerryyyy,Monty
meera_nair28,•meera•
siddharth.gadepalli,Siddharth Gadepalli
benxkim,ben
emma.ralph,Emma Ralph
rcsunkara,Ritika Sunkara
mo20750,Mo Khan
cscosu,Cyber Security Club @ OSU
tuffale,Tuffale Yasir Mohamed
saniya.singhvi,Saniya Singhvi
christian.connolly,Christian Connolly
sheetansha,sheetansha🫧
sunnythesunchip,sunny
jahan.zu,Jahan Uddin
eian.z,Eian Zachmann
carolinebwill,caroline williams
priyasrinivasann,Priya Srinivasan
mia.marcellana,mia🫶🏽
mayankbongani,Mayank
vanmathi2003,Vanmathi Santhanam
om.p4tel,om patel
kentaaa1102,田村健太
aneetej,Aneetej Arora
apuuurva,Apurva
anushka.mehta02,Nush
tinyshankers,Tim Coleman
love_afs_,Afrah
dawei.lau,Da Wei Lau
osuphysics,OSU Physics
annadonsky,anna donsky
shreakumar,SHREA
karthika02,Karthika Shankar
emmanuelkeyy,emmanuel
lambertaubrie,Aubrie Lambert
antheaweisman,anthea 🦋🐣🐠🫧🧿
johnny._.1020,
jonathans165,Jonathan Steinke
kushi_malasani,Kushi Malasani
_ishikag,Ishika Gupta
hiyapatel_,HIYA PATEL🤎☁️
katie.morrisroe,Katie Morrisroe
varshaathilingam,Varsha
i2a1ah,Isaiah
srivastava_nitish,Nitish Srivastava
anna_hahn,anna hahn
a_tree210,Atreyee ✨
_.emmalewis._,Emma Lewis
trig.jegman,Josh Reichard
eainianian,Eain
pippali.indra02,indra pippali
vikesh_pajany,
sridharisboss,
trojan_2021,Sawyer Ramsey
imnotrishi,Rishi
royazaza,✨Drip God✨ (Zoya Raza)
deepta15,Deepta Paramasamy
motivationalmadan,Rohan
swetthaa,Swetha
long_gone_108,Unknown.
ridvangureycan,Ridvan
das_anushka20,nush
justadam.19,Adam
k_pamesa,Kaimo Pamesa
ummehani.motiwala,Ummehani Motiwala
colorstackosu,ColorStackOSU
the_tommy.d,Tommy Donohoe
gagne11,Colin Gagné
sgupta25,sarvesh gupta
rickymamidala,
dhruv.palakkal,Dhruv Palakkal
tvuligadla,Thulasi Vuligadla
andres.lpz,Andres
ojalkakrecha,ojal
anjanik12,Anjani
ajaymartimus,Addie Jay
adarsh_chitti4,Adarsh Chitti
_m_gans,Ganapathy
rheasmehta,rhea mehta
madhaba.naidu,Madhaba
rahul.nalam,Rahul
satheesh.ramesh.91,Satheesh R
namanamin2022,Naman Amin
_parisjada_,✨Paris✨
rainachada,raina chada
kavya.a,Kavya
r4nsbe,Region IV • NSBE
swethaaa.hari,Swetha Hariharan
astrosocietyosu,Astronomical Society at Ohio State
sparshhk,sparsh kustagishettar
sachi.desai,Sachi Desai
anvita.dandu,anvita
lee.g.gilbert,Lee G. Gilbert
osupolice,Ohio State University Police
piya.prmr,Piya Parmar
foreignbou,Dieynabou
_amrina39_,AMRINA AKTER
ishadavit,Isha Davit
ankit.patel_,Ankit Patel
prasunapav21,prasuna pavuluri
kellyfeng26,Kelly
demigirl0fmars,ísh
_pre2,Prateeksha Prabhakar
nikhita.tammina,Nikhita Tammina
osuengineering,Ohio State Engineering
nsbe,NSBE
ohiostateecs,Engineering Career Services
zuck,Mark Zuckerberg
shruthi_madhu,Shruthi Madhu
